title,description,publishedAt,source,url,lat,lon
‘Attack shows sheer brutal violence is the new normal’,"Panaji: The assault on activist Rama Kankonkar in the state capital indicates that “sheer brutal violence” has become normal in the state, said Dr Osc.",2025-09-18T19:26:50Z,The Times of India,https://timesofindia.indiatimes.com/city/goa/attack-shows-sheer-brutal-violence-is-the-new-normal/articleshow/123984342.cms,,
British Sikh woman sexually assaulted in racially motivated attack near Birmingham,"A Sikh woman in the UK was brutally attacked. The incident occurred in Oldbury, near Birmingham. Police are investigating the rape as a racially aggravated crime. Attackers made racist remarks during the assault. Authorities are working to identify the perpet…",2025-09-13T08:50:57Z,The Times of India,https://economictimes.indiatimes.com/news/new-updates/british-sikh-woman-sexually-assaulted-in-racially-motivated-attack-near-birmingham/articleshow/123866853.cms,,
"Who is Robin Westman? Minneapolis school shooter used gun magazine having 'Kill Trump' 'Nuke India', 'Where is your God?' written on it","Minneapolis School Shooter: In a devastating act of gun violence, Robin Westman, a 23-year-old former student, carried out a fatal attack on Annunciation Catholic School in Minneapolis. The assault, which occurred during a back-to-school Mass, left two childr…",2025-08-28T01:07:49Z,The Times of India,https://economictimes.indiatimes.com/news/new-updates/minneapolis-shooting-who-is-robin-westman-minneapolis-school-shooter-used-gun-magazine-having-kill-trump-nuke-india-where-is-your-god-written-on-it/articleshow/123553549.cms,,
"Criminal on parole rapes Bronx woman, gives number to the victim, calls himself Romeo; arrested","In a shocking incident, Nicholas Dejesus, a recent parolee, was arrested for allegedly sexually assaulting a woman in the Bronx. Dejesus, who had been released in July 2025 after serving nine years for robbery, is accused of attacking the victim near West 230…",2025-09-18T08:51:13Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/criminal-on-parole-rapes-bronx-woman-gives-number-to-the-victim-calls-himself-romeo-arrested/articleshow/123970147.cms,,
Ukraine attacks major Russian refinery with big drone assault,"Ukraine launched a significant drone attack on Russia, targeting the Kirishi oil refinery and prompting a fire. Russia claims to have downed 361 Ukrainian drones and responded by firing a hypersonic missile during military exercises with Belarus. Amidst escal…",2025-09-14T10:34:31Z,The Times of India,https://economictimes.indiatimes.com/news/defence/ukraine-attacks-major-russian-refinery-with-big-drone-assault/articleshow/123881337.cms,,
Cameroon separatists claim deadly roadside attack that killed 7 soldiers,"Rest of World News: A deadly roadside bomb attack by separatists in southwestern Cameroon has claimed the lives of seven soldiers, marking a significant escalation in ongoing conflict in the region. The Fako Unity Warriors' responsibility for this attack unde…",2025-09-06T14:00:34Z,The Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/cameroon-separatists-claim-deadly-roadside-attack-that-killed-7-soldiers/articleshow/123736454.cms,,
Mass Russian drone and missile attack kills 4 and injures 24 in Ukraine's capital,"A major Russian attack struck Kyiv, resulting in casualties and widespread damage. The assault involved drones and missiles. Among the dead were children. Rescue operations are underway to find survivors. Numerous buildings suffered damage across several dist…",2025-08-28T04:15:15Z,The Times of India,https://economictimes.indiatimes.com/news/defence/mass-russian-drone-and-missile-attack-kills-4-and-injures-24-in-ukraines-capital/articleshow/123555714.cms,,
Billions lost as arsonists target big business; tycoons run for cover,"South Asia News: Nepal's protest movement tipped into large-scale economic violence, with mobs torching factories, supermarkets, banks and hotels in coordinated attack.",2025-09-11T03:56:06Z,The Times of India,https://timesofindia.indiatimes.com/world/south-asia/billions-lost-as-arsonists-target-big-business-tycoons-run-for-cover/articleshow/123821315.cms,,
"Five Bangladeshi students in NIT Silchar suspended for campus violence, to be deported",NIT Silchar has suspended five Bangladeshi students. These students are facing deportation. The reason is their alleged involvement in violent clashes on campus. Authorities also suspect them of possessing narcotics. An investigation revealed their active par…,2025-09-15T07:23:36Z,The Times of India,https://economictimes.indiatimes.com/news/india/five-bangladeshi-students-in-nit-silchar-suspended-for-campus-violence-to-be-deported/articleshow/123895252.cms,,
Russia hits seat of Ukraine govt in war's biggest air attack,"Russia launched its largest aerial assault on Ukraine, resulting in casualties and igniting a fire at Kyiv's government headquarters. The extensive strikes, involving drones and missiles, targeted infrastructure and residential areas, prompting international …",2025-09-07T11:53:08Z,The Times of India,https://economictimes.indiatimes.com/news/defence/russia-hits-seat-of-ukraine-govt-in-wars-biggest-air-attack/articleshow/123746892.cms,,
